output/FLOPS_DP_c5n0_35.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_36.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |          0 |
output/FLOPS_DP_c5n0_37.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_38.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_39.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_3.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_40.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |          0 |
output/FLOPS_DP_c5n0_41.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_42.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_43.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_44.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |          0 |
output/FLOPS_DP_c5n0_45.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_46.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_47.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_4.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |          0 |
output/FLOPS_DP_c5n0_5.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_6.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_7.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_8.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |          0 |
output/FLOPS_DP_c5n0_9.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
