output/FLOPS_DP_gw4a64fxlogin01_5.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_6.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_7.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_8.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   36000000 |
output/FLOPS_DP_gw4a64fxlogin01_9.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_0.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |  251500000 |
output/FLOPS_DP_gw4a64fxlogin01_10.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   251500000 |
output/FLOPS_DP_gw4a64fxlogin01_11.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   251500000 |
output/FLOPS_DP_gw4a64fxlogin01_12.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |  251500000 |
output/FLOPS_DP_gw4a64fxlogin01_13.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   251500000 |
output/FLOPS_DP_gw4a64fxlogin01_14.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   251500000 |
output/FLOPS_DP_gw4a64fxlogin01_15.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   251500000 |
output/FLOPS_DP_gw4a64fxlogin01_16.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |  251500000 |
output/FLOPS_DP_gw4a64fxlogin01_17.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   251500000 |
output/FLOPS_DP_gw4a64fxlogin01_18.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   251500000 |
output/FLOPS_DP_gw4a64fxlogin01_19.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   251500000 |
output/FLOPS_DP_gw4a64fxlogin01_1.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   251500000 |
output/FLOPS_DP_gw4a64fxlogin01_20.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |  251500000 |
output/FLOPS_DP_gw4a64fxlogin01_21.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   251500000 |
